Protein FDR Confidence: Combined	Master	Accession	Description	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Chromosome	KEGG Pathways	Reactome Pathways	WikiPathways	# Protein Pathway Groups	Abundance Ratio: (T48h) / (T0)	Abundance Ratio: (T96h) / (T0)	Abundance Ratio: (T96h) / (T48h)	Abundance Ratio (log2): (T48h) / (T0)	Abundance Ratio (log2): (T96h) / (T0)	Abundance Ratio (log2): (T96h) / (T48h)	Abundance Ratio P-Value: (T48h) / (T0)	Abundance Ratio P-Value: (T96h) / (T0)	Abundance Ratio P-Value: (T96h) / (T48h)	Abundance Ratio Adj. P-Value: (T48h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T48h)	Found in Sample: [S28] F4: 126, Sample, T0, P1	Found in Sample: [S31] F4: 127N, Sample, T0, P2	Found in Sample: [S32] F4: 128N, Sample, T0, P3	Found in Sample: [S29] F5: 126, Sample, T0, P1	Found in Sample: [S39] F5: 127N, Sample, T0, P2	Found in Sample: [S40] F5: 128N, Sample, T0, P3	Found in Sample: [S30] F6: 126, Sample, T0, P1	Found in Sample: [S47] F6: 127N, Sample, T0, P2	Found in Sample: [S48] F6: 128N, Sample, T0, P3	Found in Sample: [S33] F4: 128C, Sample, T48h, P1	Found in Sample: [S34] F4: 129N, Sample, T48h, P2	Found in Sample: [S35] F4: 129C, Sample, T48h, P3	Found in Sample: [S41] F5: 128C, Sample, T48h, P1	Found in Sample: [S42] F5: 129N, Sample, T48h, P2	Found in Sample: [S43] F5: 129C, Sample, T48h, P3	Found in Sample: [S49] F6: 128C, Sample, T48h, P1	Found in Sample: [S50] F6: 129N, Sample, T48h, P2	Found in Sample: [S51] F6: 129C, Sample, T48h, P3	Found in Sample: [S36] F4: 130N, Sample, T96h, P1	Found in Sample: [S37] F4: 130C, Sample, T96h, P2	Found in Sample: [S38] F4: 131, Sample, T96h, P3	Found in Sample: [S44] F5: 130N, Sample, T96h, P1	Found in Sample: [S45] F5: 130C, Sample, T96h, P2	Found in Sample: [S46] F5: 131, Sample, T96h, P3	Found in Sample: [S52] F6: 130N, Sample, T96h, P1	Found in Sample: [S53] F6: 130C, Sample, T96h, P2	Found in Sample: [S54] F6: 131, Sample, T96h, P3	# Protein Groups
High	Master Protein	P62906	60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2	FAUX	40.759	41	8	29	8	217	24.8	9.94	69.58	8	"cell organization and biogenesis;metabolic process;response to stimulus;transport"	"cytosol;membrane;nucleus;ribosome"	"protein binding;RNA binding;structural molecule activity"	Pf00687	4736	ENSG00000198755.10	RPL10A	6	Ribosome	"Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	Cytoplasmic Ribosomal Proteins	34	1.1	1.015	0.922	0.14	0.02	-0.12	0.757239242	0.855234656	0.938125637	0.982227132	0.99132521	0.996998809	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q16531	DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1	FAUX	40.652	12	11	19	11	1140	126.9	5.26	49.9	11	"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;nucleus"	"DNA binding;protein binding"	Pf03178, Pf10433	1642	ENSG00000167986.13	DDB1	11	"Viral carcinogenesis; Hepatitis B; Ubiquitin mediated proteolysis; Nucleotide excision repair"	"Formation of Incision Complex in GG-NER; DNA Damage Recognition in GG-NER; Gap-filling DNA repair synthesis and ligation in TC-NER; Recognition of DNA damage by PCNA-containing replication complex; Dual incision in TC-NER; Formation of TC-NER Pre-Incision Complex; Dual Incision in GG-NER; Neddylation"		19	1.149	1.174	1.03	0.2	0.23	0.04	0.547876215	0.557986489	0.632469287	0.929648691	0.962609766	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9NZU5	LIM and cysteine-rich domains protein 1 OS=Homo sapiens OX=9606 GN=LMCD1 PE=1 SV=1	FAUX	39.946	33	10	19	10	365	40.8	7.93	52.74	10	"metabolic process;regulation of biological process"	"cytoplasm;nucleus"	metal ion binding	Pf00412, Pf06297	29995	ENSG00000071282.11	LMCD1	3		Surfactant metabolism		2	0.89	0.689	0.771	-0.17	-0.54	-0.38	0.319185333	0.373055884	0.564003715	0.791649777	0.912532334	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	O15460	Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens OX=9606 GN=P4HA2 PE=1 SV=1	FAUX	39.873	19	8	20	8	535	60.9	5.71	48.2	8	metabolic process	"cytosol;endoplasmic reticulum;organelle lumen"	"catalytic activity;metal ion binding;protein binding"	Pf03171, Pf08336, Pf13640	8974	ENSG00000072682.18	P4HA2	5	"Metabolic pathways; Arginine and proline metabolism"	Collagen biosynthesis and modifying enzymes	Amino Acid metabolism	6	1.207	1.38	1.142	0.27	0.46	0.19	0.382796488	0.301962083	0.390968057	0.848939048	0.873118619	0.94847618	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q14152	Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1	FAUX	39.77	8	10	24	10	1382	166.5	6.79	64.5	10	"cell organization and biogenesis;metabolic process;regulation of biological process"	"cytoplasm;cytosol;membrane;nucleus"	"protein binding;RNA binding;structural molecule activity"	Pf01399	8661	ENSG00000107581.12	EIF3A	10	RNA transport	"Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; Translation initiation complex formation; GTP hydrolysis and joining of the 60S ribosomal subunit; Formation of a pool of free 40S subunits; Ribosomal scanning and start codon recognition"	Translation Factors	13	1.23	1.142	0.951	0.3	0.19	-0.07	0.288453858	0.611249911	0.851442478	0.755620111	0.975594019	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P00736	Complement C1r subcomponent OS=Homo sapiens OX=9606 GN=C1R PE=1 SV=2	FAUX	39.539	20	11	19	11	705	80.1	6.21	57.45	11	"defense response;metabolic process;regulation of biological process;response to stimulus"	extracellular	"catalytic activity;metal ion binding;protein binding"	Pf00084, Pf00089, Pf00431, Pf07645, Pf12662, Pf14670	715		C1R	12	"Pertussis; Phagosome; Complement and coagulation cascades; Systemic lupus erythematosus; Staphylococcus aureus infection"	"Regulation of Complement cascade; Classical antibody-mediated complement activation"	Complement and Coagulation Cascades	13	2.274	2.968	1.015	1.19	1.57	0.02	2.54883E-06	0.001622191	0.670359449	4.71534E-05	0.031293031	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P54727	UV excision repair protein RAD23 homolog B OS=Homo sapiens OX=9606 GN=RAD23B PE=1 SV=1	FAUX	39.5	22	8	29	6	409	43.1	4.84	83.12	8	"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytosol;nucleus;proteasome"	"DNA binding;protein binding"	Pf00240, Pf00627, Pf09280, Pf11976, Pf13881	5887	ENSG00000119318.12	RAD23B	9	"Protein processing in endoplasmic reticulum; Nucleotide excision repair"	"Josephin domain DUBs; Formation of Incision Complex in GG-NER; DNA Damage Recognition in GG-NER; N-glycan trimming in the ER and Calnexin/Calreticulin cycle"		13	1.102	1.025	0.919	0.14	0.04	-0.12	0.749654874	0.833210413	0.949507238	0.982227132	0.990871106	0.998956223	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q00839	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	FAUX	39.465	16	10	21	10	825	90.5	6	49.39	10	"cell differentiation;metabolic process;regulation of biological process;response to stimulus"	"cell surface;chromosome;cytoplasm;membrane;nucleus;spliceosomal complex"	"DNA binding;nucleotide binding;protein binding;RNA binding"	Pf00622, Pf13671	3192	ENSG00000153187.18	HNRNPU	1	Spliceosome	mRNA Splicing - Major Pathway	mRNA Processing	6	1.037	1.093	1.104	0.05	0.13	0.14	0.963417553	0.698833949	0.463861145	0.998387812	0.990871106	0.951640635	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q99471	Prefoldin subunit 5 OS=Homo sapiens OX=9606 GN=PFDN5 PE=1 SV=2	FAUX	39.413	44	5	12	5	154	17.3	6.33	45.49	5	"metabolic process;regulation of biological process"	"cytoplasm;nucleus"	protein binding	Pf02996	5204	ENSG00000123349.13	PFDN5	12		Prefoldin mediated transfer of substrate  to CCT/TriC		5	1.052	0.808	0.788	0.07	-0.31	-0.34	0.966961531	0.654605725	0.618125606	0.998387812	0.985984329	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9C0C2	182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4	FAUX	39.349	8	10	18	10	1729	181.7	4.86	37.03	10	"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus"	"chromosome;cytoplasm;cytoskeleton;cytosol;nucleus"	protein binding	Pf15327	85456	ENSG00000149115.13	TNKS1BP1	11		"TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain; Deadenylation of mRNA"		9	1.145	0.855	0.8	0.2	-0.23	-0.32	0.558116048	0.770185989	0.657864026	0.931630495	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P00491	Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2	FAUX	39.319	27	6	16	6	289	32.1	6.95	43.89	6	"metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytoskeleton;cytosol;extracellular;nucleus;organelle lumen"	catalytic activity	Pf01048	4860	ENSG00000198805.11	PNP	14	"Purine metabolism; Nicotinate and nicotinamide metabolism; Metabolic pathways; Pyrimidine metabolism"	"Neutrophil degranulation; Purine salvage; Purine catabolism"		13	0.985	0.829	0.867	-0.02	-0.27	-0.21	0.720607831	0.705303567	0.881488203	0.982227132	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P25788	Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2	FAUX	39.315	33	9	32	9	255	28.4	5.33	85.2	9	"metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;nucleus;proteasome"	"catalytic activity;nucleotide binding;protein binding"	Pf00227, Pf10584	5684	ENSG00000100567.12	PSMA3	14	Proteasome	"Regulation of RAS by GAPs; CDT1 association with the CDC6:ORC:origin complex; Downstream TCR signaling; UCH proteinases; NIK-->noncanonical NF-kB signaling; Hh mutants that don't undergo autocatalytic processing are degraded by ERAD; SCF-beta-TrCP mediated degradation of Emi1; Cross-presentation of soluble exogenous antigens (endosomes); Separation of Sister Chromatids; Vpu mediated degradation of CD4; Hedgehog ligand biogenesis; Regulation of RUNX2 expression and activity; Ub-specific processing proteases; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; ER-Phagosome pathway; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; ABC-family proteins mediated transport; Regulation of activated PAK-2p34 by proteasome mediated degradation; CDK-mediated phosphorylation and removal of Cdc6; FCERI mediated NF-kB activation; Neddylation; Autodegradation of the E3 ubiquitin ligase COP1; G2/M Checkpoints; Regulation of RUNX3 expression and activity; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; Regulation of expression of SLITs and ROBOs; Removal of licensing factors from origins; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; Regulation of PTEN stability and activity; Regulation of DNA replication; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; Vif-mediated degradation of APOBEC3G; Antigen processing: Ubiquitination & Proteasome degradation; GLI3 is processed to GLI3R by the proteasome; SCF(Skp2)-mediated degradation of p27/p21; APC/C:Cdc20 mediated degradation of Securin; Interleukin-1 family signaling; AUF1 (hnRNP D0) binds and destabilizes mRNA; Degradation of GLI1 by the proteasome; Degradation of GLI2 by the proteasome; The role of GTSE1 in G2/M progression after G2 checkpoint; Regulation of ornithine decarboxylase (ODC); Interleukin-20 family signaling; Hedgehog 'on' state; Ubiquitin-dependent degradation of Cyclin D1; Degradation of DVL; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Degradation of AXIN; Autodegradation of Cdh1 by Cdh1:APC/C; Asymmetric localization of PCP proteins; Orc1 removal from chromatin; M/G1 Transition; Activation of NF-kappaB in B cells; Degradation of beta-catenin by the destruction complex; MAPK6/MAPK4 signaling; Dectin-1 mediated noncanonical NF-kB signaling; Defective CFTR causes cystic fibrosis"	Proteasome Degradation	150	1.045	1.028	1.048	0.06	0.04	0.07	0.999306138	0.827627006	0.587894819	0.99989074	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P55263	Adenosine kinase OS=Homo sapiens OX=9606 GN=ADK PE=1 SV=2	FAUX	39.17	34	10	22	10	362	40.5	6.7	56.4	10	metabolic process	"cytoplasm;cytosol;nucleus"	"catalytic activity;metal ion binding;nucleotide binding;RNA binding"	Pf00294	132	ENSG00000156110.13	ADK	10	"Purine metabolism; Metabolic pathways"	Purine salvage		6	1.002	0.791	0.744	0	-0.34	-0.43	0.800638234	0.611566048	0.480611556	0.982546615	0.975594019	0.957927416	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q8NC51	Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2	FAUX	38.979	19	6	23	6	408	44.9	8.65	64.82	6	regulation of biological process	"cytoplasm;cytosol;membrane;nucleus"	"protein binding;RNA binding"	Pf04774	26135	ENSG00000142864.14	SERBP1	1			Apoptosis-related network due to altered Notch3 in ovarian cancer	1	0.913	0.64	0.736	-0.13	-0.64	-0.44	0.414836846	0.273894516	0.455377017	0.86579286	0.856089174	0.949528938	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9Y262	Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1	FAUX	38.807	21	10	23	10	564	66.7	6.34	50.81	10	metabolic process	"cytoplasm;cytosol;membrane"	"protein binding;RNA binding"	Pf10255	51386	ENSG00000100129.17	EIF3L	22		"Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; Translation initiation complex formation; GTP hydrolysis and joining of the 60S ribosomal subunit; Formation of a pool of free 40S subunits; Ribosomal scanning and start codon recognition"		11	1.181	1.413	1.188	0.24	0.5	0.25	0.423734585	0.271941564	0.317713539	0.871087428	0.854100795	0.897044113	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q12905	Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=2	FAUX	38.722	19	5	16	5	390	43	5.26	55.09	5	"metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;extracellular;membrane;nucleus;organelle lumen"	"catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding"	Pf07528	3608	ENSG00000143621.16	ILF2	1		Neutrophil degranulation	B Cell Receptor Signaling Pathway	4	0.922	1.155	1.289	-0.12	0.21	0.37	0.426139348	0.589334001	0.194806072	0.871087428	0.970187338	0.746597129	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P14550	Aldo-keto reductase family 1 member A1 OS=Homo sapiens OX=9606 GN=AKR1A1 PE=1 SV=3	FAUX	38.707	33	10	26	10	325	36.6	6.79	81.49	10	metabolic process	"cytosol;membrane"	"catalytic activity;protein binding"	Pf00248	10327	ENSG00000117448.13	AKR1A1	1	"Glycerolipid metabolism; Glycolysis / Gluconeogenesis; Pentose and glucuronate interconversions; Metabolic pathways"	"Catabolism of glucuronate to xylulose-5-phosphate; Glutathione conjugation"	"Benzo(a)pyrene metabolism; Metapathway biotransformation"	12	1.271	1.044	0.806	0.35	0.06	-0.31	0.236793075	0.794284776	0.679868627	0.684304699	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P17174	Aspartate aminotransferase, cytoplasmic OS=Homo sapiens OX=9606 GN=GOT1 PE=1 SV=3	FAUX	38.7	32	11	17	11	413	46.2	7.01	36.32	11	"metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytosol;mitochondrion;nucleus;vacuole"	catalytic activity	Pf00155	2805	ENSG00000120053.10	GOT1	10	"Phenylalanine, tyrosine and tryptophan biosynthesis; Arginine biosynthesis; Tyrosine metabolism; Carbon metabolism; Alanine, aspartate and glutamate metabolism; Phenylalanine metabolism; Biosynthesis of amino acids; 2-Oxocarboxylic acid metabolism; Metabolic pathways; Cysteine and methionine metabolism; Arginine and proline metabolism"	"Gluconeogenesis; Amino acid synthesis and interconversion (transamination); Methionine salvage pathway"	"Alanine and aspartate metabolism; Trans-sulfuration pathway; Amino Acid metabolism; Glycolysis and Gluconeogenesis"	24	0.923	0.875	0.948	-0.12	-0.19	-0.08	0.442144341	0.81920351	0.858358468	0.88164855	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P07942	Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2	FAUX	38.637	7	11	27	11	1786	197.9	4.94	69.42	11	"cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport"	"extracellular;membrane;organelle lumen"	"catalytic activity;motor activity;nucleotide binding;protein binding;signal transducer activity;structural molecule activity"	Pf00015, Pf00053, Pf00055, Pf01576, Pf02841, Pf03938, Pf04156, Pf05103, Pf05335, Pf05667, Pf05698, Pf05701, Pf06428, Pf07111, Pf07767, Pf08317, Pf08647, Pf09731, Pf10174, Pf13476, Pf13514, Pf13851, Pf15346, Pf15619	3912	ENSG00000091136.13	LAMB1	7	"Amoebiasis; Pathways in cancer; Toxoplasmosis; Focal adhesion; Small cell lung cancer; ECM-receptor interaction; PI3K-Akt signaling pathway"	"ECM proteoglycans; Post-translational protein phosphorylation; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); L1CAM interactions; Laminin interactions; Degradation of the extracellular matrix; MET activates PTK2 signaling; Non-integrin membrane-ECM interactions"	"Alpha 6 Beta 4 signaling pathway; Focal Adhesion; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Inflammatory Response Pathway"	28	1.311	1.762	1.413	0.39	0.82	0.5	0.151233912	0.087525047	0.102461505	0.552546083	0.471465466	0.54285356	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P20618	Proteasome subunit beta type-1 OS=Homo sapiens OX=9606 GN=PSMB1 PE=1 SV=2	FAUX	38.596	38	7	21	7	241	26.5	8.13	64.11	7	"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;extracellular;nucleus;organelle lumen;proteasome"	"catalytic activity;protein binding"	Pf00227	5689	ENSG00000008018.8	PSMB1	6	Proteasome	"Regulation of RAS by GAPs; CDT1 association with the CDC6:ORC:origin complex; Downstream TCR signaling; UCH proteinases; NIK-->noncanonical NF-kB signaling; Hh mutants that don't undergo autocatalytic processing are degraded by ERAD; SCF-beta-TrCP mediated degradation of Emi1; Neutrophil degranulation; Cross-presentation of soluble exogenous antigens (endosomes); Separation of Sister Chromatids; Vpu mediated degradation of CD4; Hedgehog ligand biogenesis; Regulation of RUNX2 expression and activity; Ub-specific processing proteases; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; ER-Phagosome pathway; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; ABC-family proteins mediated transport; Regulation of activated PAK-2p34 by proteasome mediated degradation; CDK-mediated phosphorylation and removal of Cdc6; FCERI mediated NF-kB activation; Neddylation; Autodegradation of the E3 ubiquitin ligase COP1; G2/M Checkpoints; Regulation of RUNX3 expression and activity; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; Regulation of expression of SLITs and ROBOs; Removal of licensing factors from origins; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; Regulation of PTEN stability and activity; Regulation of DNA replication; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; Vif-mediated degradation of APOBEC3G; Antigen processing: Ubiquitination & Proteasome degradation; GLI3 is processed to GLI3R by the proteasome; SCF(Skp2)-mediated degradation of p27/p21; APC/C:Cdc20 mediated degradation of Securin; Interleukin-1 family signaling; AUF1 (hnRNP D0) binds and destabilizes mRNA; Degradation of GLI1 by the proteasome; Degradation of GLI2 by the proteasome; The role of GTSE1 in G2/M progression after G2 checkpoint; Regulation of ornithine decarboxylase (ODC); Interleukin-20 family signaling; Hedgehog 'on' state; Ubiquitin-dependent degradation of Cyclin D1; Degradation of DVL; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Degradation of AXIN; Autodegradation of Cdh1 by Cdh1:APC/C; Asymmetric localization of PCP proteins; Orc1 removal from chromatin; M/G1 Transition; Activation of NF-kappaB in B cells; Degradation of beta-catenin by the destruction complex; MAPK6/MAPK4 signaling; Dectin-1 mediated noncanonical NF-kB signaling; Defective CFTR causes cystic fibrosis"	Proteasome Degradation	151	1.024	1.229	1.127	0.03	0.3	0.17	0.899895192	0.476892225	0.418424181	0.998387812	0.950241545	0.94847618	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9H299	SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens OX=9606 GN=SH3BGRL3 PE=1 SV=1	FAUX	38.318	84	8	25	8	93	10.4	4.93	64.7	8	"cellular homeostasis;metabolic process;regulation of biological process"	"cytoplasm;nucleus"	catalytic activity	Pf00462, Pf04908	83442	ENSG00000142669.14	SH3BGRL3	1				0	1.284	0.863	0.705	0.36	-0.21	-0.5	0.212745046	0.790393748	0.366483201	0.652747243	0.990871106	0.941015454	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P62249	40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2	FAUX	38.317	64	11	37	11	146	16.4	10.21	91.5	11	"cell organization and biogenesis;metabolic process;transport"	"cytosol;membrane;ribosome"	"protein binding;RNA binding;structural molecule activity"	Pf00380	6217	ENSG00000105193.8	RPS16	19	Ribosome	"Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; Selenocysteine synthesis; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Ribosomal scanning and start codon recognition; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Translation initiation complex formation; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	Cytoplasmic Ribosomal Proteins	38	0.811	0.758	0.941	-0.3	-0.4	-0.09	0.125329747	0.531023189	0.882079566	0.498887547	0.957796538	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9HC38	Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1	FAUX	38.275	30	9	25	9	313	34.8	5.6	70.25	9		mitochondrion	protein binding	Pf00903, Pf12681	51031	ENSG00000167699.13	GLOD4	17				0	1.035	0.924	0.914	0.05	-0.11	-0.13	0.953620324	0.939321646	0.964284527	0.998387812	0.995066839	0.999131486	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
